attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
adjacent,low,none,none,unchanged,low,high,low,0.0217,poc,212,high
local,low,none,required,changed,none,none,low,0.1327,unproven,154,low
local,high,none,required,changed,low,high,none,0.0864,unproven,111,medium
network,low,none,none,unchanged,high,low,high,0.0184,poc,320,high
network,high,none,none,unchanged,high,high,none,0.0787,functional,350,high
adjacent,low,high,required,unchanged,low,high,none,0.1649,poc,71,medium
adjacent,low,high,required,unchanged,high,low,low,0.154,functional,268,medium
network,low,none,none,changed,high,high,low,0.0964,poc,363,critical
local,low,low,required,unchanged,low,high,none,0.0998,unproven,290,medium
local,high,low,none,unchanged,high,none,none,0.0374,poc,202,medium
network,high,high,none,unchanged,high,high,low,0.1144,unproven,186,medium
network,low,high,required,unchanged,none,low,none,0.0914,poc,206,low
network,high,low,none,unchanged,none,high,high,0.0441,unproven,99,high
network,low,none,required,unchanged,none,low,none,0.2052,high,168,low
local,low,low,none,changed,low,low,high,0.0354,poc,309,high
network,low,none,none,unchanged,low,high,none,0.3034,functional,114,high
local,high,low,none,unchanged,low,none,none,0.1263,unproven,37,low
network,low,none,none,unchanged,low,high,none,0.1181,unproven,337,high
network,high,low,none,changed,low,none,high,0.0375,poc,159,medium
local,low,none,none,changed,high,none,low,0.1191,unproven,136,high
local,low,high,required,unchanged,high,low,none,0.0969,high,228,medium
network,low,low,required,changed,high,none,high,0.1316,functional,395,high
adjacent,low,low,none,changed,none,high,high,0.0249,poc,75,high
network,high,low,none,unchanged,high,none,low,0.0831,functional,40,medium
network,low,high,required,unchanged,high,none,high,0.0515,unproven,194,medium
physical,high,high,required,unchanged,low,high,none,0.0124,functional,261,medium
adjacent,low,low,none,changed,none,none,none,0.176,poc,71,low
adjacent,low,none,required,unchanged,low,none,none,0.056,unproven,173,low
local,low,low,required,unchanged,none,none,none,0.0369,unproven,616,low
network,low,high,required,unchanged,none,low,low,0.1613,high,98,low
adjacent,low,low,required,unchanged,low,high,high,0.0861,unproven,214,medium
network,low,low,none,unchanged,none,none,low,0.0852,poc,895,medium
network,low,none,required,unchanged,high,low,low,0.0547,functional,581,high
network,low,low,none,changed,low,none,high,0.1154,unproven,90,high
adjacent,high,high,required,changed,high,none,low,0.1265,poc,129,medium
network,low,none,none,unchanged,none,low,high,0.034,functional,203,high
network,low,high,required,changed,low,high,low,0.0217,unproven,110,medium
network,low,none,required,unchanged,high,high,none,0.047,unproven,69,high
network,high,low,none,unchanged,high,none,none,0.0116,functional,72,medium
network,low,none,required,unchanged,high,low,low,0.0331,functional,269,high
network,low,none,required,unchanged,high,high,high,0.0794,unproven,21,high
local,low,none,required,unchanged,high,high,none,0.0284,unproven,51,medium
network,high,low,required,unchanged,high,high,low,0.1848,poc,167,high
local,low,low,none,unchanged,none,low,low,0.1261,unproven,266,medium
network,high,none,required,unchanged,high,low,none,0.126,high,590,medium
local,high,low,none,unchanged,low,none,low,0.0569,functional,331,low
physical,high,none,required,unchanged,high,none,none,0.1492,unproven,187,medium
adjacent,low,low,required,unchanged,high,high,none,0.091,functional,204,medium
network,low,none,none,unchanged,low,high,low,0.213,poc,134,high
local,high,none,none,unchanged,high,none,none,0.01,high,66,medium
local,high,low,required,unchanged,high,low,none,0.0089,unproven,225,medium
adjacent,low,none,none,unchanged,high,low,high,0.2708,unproven,114,high
local,high,none,none,unchanged,low,high,none,0.0996,unproven,396,medium
local,high,low,none,unchanged,low,none,none,0.0238,unproven,39,low
network,high,none,none,unchanged,low,low,none,0.2075,unproven,61,medium
adjacent,low,none,required,unchanged,high,high,high,0.0432,unproven,125,high
adjacent,high,high,required,unchanged,none,high,low,0.351,unproven,390,medium
physical,low,low,none,changed,high,low,none,0.1844,unproven,154,medium
local,low,high,required,unchanged,low,none,high,0.0573,unproven,107,medium
network,low,none,none,changed,none,high,high,0.0663,unproven,100,high
local,low,low,none,changed,none,low,low,0.2441,functional,286,medium
adjacent,high,low,required,unchanged,high,high,low,0.1117,unproven,73,medium
network,low,none,none,changed,low,high,none,0.1679,poc,246,critical
network,low,none,none,unchanged,high,none,low,0.0196,high,82,high
adjacent,low,low,required,unchanged,none,none,low,0.1238,functional,243,low
network,high,low,required,changed,low,none,none,0.1961,functional,13,low
network,high,none,required,changed,low,low,high,0.0766,functional,375,medium
network,low,low,required,unchanged,none,low,high,0.0925,poc,233,medium
network,low,low,none,unchanged,high,low,low,0.155,poc,119,high
local,high,none,none,unchanged,high,none,high,0.0865,unproven,324,medium
network,low,none,required,changed,low,low,none,0.0948,functional,526,medium
adjacent,low,low,none,unchanged,none,high,high,0.0668,unproven,192,high
adjacent,high,low,required,unchanged,low,low,none,0.1163,unproven,170,low
network,high,high,none,unchanged,high,none,high,0.0794,poc,212,medium
physical,high,low,none,unchanged,low,low,low,0.1216,high,122,medium
network,low,none,none,unchanged,none,low,high,0.135,high,255,high
network,high,none,none,changed,high,high,low,0.1321,high,155,high
local,low,none,required,unchanged,high,high,low,0.0788,unproven,133,high
network,low,none,none,unchanged,high,low,high,0.0649,poc,223,critical
network,low,low,required,unchanged,high,high,high,0.1808,poc,62,high
network,low,low,required,unchanged,low,low,high,0.3446,unproven,249,medium
local,high,none,required,unchanged,none,none,high,0.1538,functional,13,medium
network,high,high,none,unchanged,low,none,low,0.0519,poc,103,low
network,low,none,none,changed,high,none,none,0.2115,unproven,377,high
local,low,low,none,unchanged,high,low,high,0.0677,unproven,150,high
network,low,low,required,changed,none,low,low,0.2517,functional,372,medium
network,low,none,none,unchanged,low,none,high,0.0391,poc,21,high
network,high,low,none,unchanged,none,high,low,0.1244,unproven,204,medium
network,low,none,required,unchanged,none,high,high,0.0499,poc,63,high
local,low,high,required,unchanged,low,low,low,0.0167,unproven,147,low
physical,low,none,none,unchanged,high,high,none,0.0949,high,348,medium
adjacent,high,low,none,unchanged,low,low,none,0.0806,poc,358,low
local,low,none,none,unchanged,none,high,high,0.1565,functional,322,high
network,low,none,required,unchanged,none,high,high,0.181,poc,482,high
network,high,none,required,unchanged,none,none,low,0.047,poc,332,low
physical,high,none,required,changed,low,high,none,0.2334,poc,172,medium
adjacent,low,none,none,changed,low,low,low,0.1529,unproven,171,high
network,low,low,required,unchanged,low,high,none,0.0578,unproven,108,medium
local,high,none,none,unchanged,high,high,none,0.2192,poc,39,medium
network,low,none,required,unchanged,low,none,low,0.159,unproven,88,medium
network,low,low,required,changed,high,none,low,0.0183,poc,140,high
network,low,none,none,unchanged,low,low,low,0.0685,unproven,170,high
adjacent,low,low,none,changed,high,low,none,0.036,unproven,749,medium
adjacent,high,high,required,unchanged,high,none,none,0.0602,poc,253,low
network,low,none,none,changed,none,high,low,0.027,unproven,367,critical
adjacent,high,none,required,unchanged,high,low,low,0.0576,functional,115,medium
network,high,low,none,unchanged,none,high,low,0.0808,functional,303,medium
adjacent,low,high,required,unchanged,none,low,high,0.066,unproven,188,medium
network,low,none,required,unchanged,high,high,low,0.1373,unproven,363,high
adjacent,low,low,none,unchanged,high,none,none,0.1058,poc,324,medium
network,low,none,required,changed,none,low,none,0.0309,poc,268,medium
network,low,low,none,unchanged,high,low,high,0.0534,unproven,380,high
network,low,low,required,unchanged,low,none,none,0.2762,poc,511,low
adjacent,high,low,none,unchanged,low,none,low,0.0686,poc,338,medium
local,low,low,required,unchanged,low,high,high,0.263,unproven,491,medium
adjacent,high,none,none,changed,high,low,high,0.1127,unproven,316,critical
local,low,low,required,unchanged,high,low,high,0.0341,unproven,159,medium
local,high,none,none,changed,low,low,none,0.0796,unproven,305,medium
network,high,none,none,unchanged,low,none,low,0.01,unproven,57,low
adjacent,high,low,required,unchanged,high,low,low,0.0781,unproven,126,medium
network,high,low,required,unchanged,low,none,high,0.0942,poc,187,low
network,low,none,none,unchanged,high,low,low,0.2092,unproven,148,high
network,high,none,required,unchanged,low,low,high,0.2296,high,599,medium
local,high,low,none,unchanged,high,none,high,0.0797,poc,101,medium
local,high,high,none,changed,high,low,high,0.2312,unproven,202,high
network,low,low,required,unchanged,high,low,high,0.1641,functional,133,high
network,low,low,none,changed,low,none,high,0.3115,unproven,86,high
adjacent,low,low,none,unchanged,high,high,low,0.0314,unproven,260,high
network,low,low,required,unchanged,low,low,high,0.0733,poc,237,medium
network,low,none,none,unchanged,high,high,none,0.034,poc,237,critical
adjacent,low,high,required,unchanged,high,high,none,0.07,unproven,239,medium
network,low,low,none,unchanged,high,high,low,0.0209,functional,318,high
adjacent,low,low,required,unchanged,high,low,none,0.1608,poc,89,medium
adjacent,low,none,none,changed,low,low,low,0.0663,high,271,medium
network,low,none,none,changed,high,high,none,0.0015,poc,489,critical
network,low,high,none,unchanged,low,none,none,0.1494,poc,552,low
adjacent,high,none,none,unchanged,high,low,none,0.042,unproven,150,medium
local,low,low,required,unchanged,none,none,low,0.0637,unproven,161,low
local,high,high,none,unchanged,low,high,low,0.0654,unproven,198,medium
network,low,high,none,unchanged,none,none,low,0.034,high,189,low
adjacent,low,high,required,unchanged,high,none,none,0.0868,poc,306,medium
network,high,low,required,unchanged,low,none,none,0.0344,functional,281,low
local,low,low,required,unchanged,high,high,none,0.1047,poc,136,medium
adjacent,low,low,none,unchanged,high,high,high,0.0511,poc,333,high
network,low,low,required,changed,high,low,low,0.1017,unproven,252,high
network,low,none,none,unchanged,low,high,high,0.0273,functional,138,critical
local,high,none,none,unchanged,high,none,high,0.039,poc,44,medium
local,low,low,required,unchanged,none,low,none,0.1867,unproven,142,low
local,low,none,none,unchanged,high,high,high,0.0793,unproven,614,high
physical,high,none,none,unchanged,low,none,none,0.0355,unproven,251,low
adjacent,low,none,required,unchanged,low,none,high,0.0543,unproven,568,medium
network,low,none,required,unchanged,low,low,high,0.103,unproven,141,medium
network,low,none,none,changed,high,high,high,0.1152,unproven,242,critical
network,high,low,none,unchanged,low,high,high,0.0928,unproven,211,medium
network,low,low,required,unchanged,low,high,high,0.0244,poc,304,high
adjacent,high,low,required,unchanged,low,none,none,0.117,unproven,200,low
network,low,none,none,unchanged,low,low,high,0.1045,poc,31,high
network,high,low,none,unchanged,high,none,low,0.292,poc,472,medium
local,high,none,none,changed,none,low,low,0.0481,functional,358,medium
network,low,none,none,unchanged,none,high,none,0.1475,poc,198,high
network,low,none,none,changed,low,none,low,0.0123,unproven,277,high
network,high,low,none,changed,low,high,low,0.0733,poc,92,high
network,low,low,none,unchanged,low,none,high,0.0109,poc,101,high
adjacent,low,none,none,unchanged,high,low,high,0.1415,unproven,287,high
adjacent,low,none,none,changed,high,low,none,0.1627,unproven,131,high
network,low,low,none,unchanged,high,none,none,0.1472,poc,244,medium
local,high,none,none,changed,none,none,high,0.0072,unproven,110,medium
local,low,low,none,changed,high,low,high,0.0383,functional,59,high
network,low,none,required,unchanged,low,low,none,0.052,unproven,138,medium
network,low,none,required,changed,high,low,high,0.0626,functional,129,critical
network,low,high,none,unchanged,low,high,none,0.0782,unproven,107,medium
local,high,low,none,unchanged,none,high,none,0.2285,poc,313,medium
local,high,none,none,changed,low,none,high,0.0569,functional,252,medium
network,low,high,none,unchanged,none,high,low,0.0753,unproven,210,medium
adjacent,low,none,required,changed,none,high,none,0.0972,unproven,13,medium
physical,low,none,required,unchanged,low,high,low,0.0439,functional,93,medium
local,low,high,required,unchanged,none,low,high,0.2629,poc,104,medium
network,low,high,none,changed,low,high,high,0.1253,unproven,324,high
network,high,high,required,unchanged,high,low,low,0.1091,unproven,390,medium
local,low,none,none,changed,none,high,none,0.0186,high,381,high
local,low,low,required,unchanged,none,high,high,0.043,poc,12,medium
adjacent,low,low,required,changed,none,low,low,0.0244,poc,540,medium
network,high,low,none,unchanged,high,low,low,0.0238,high,103,medium
network,low,low,required,unchanged,high,high,low,0.0538,unproven,402,medium
network,low,none,none,changed,low,high,none,0.0274,functional,144,critical
network,low,low,none,unchanged,high,none,low,0.1025,functional,361,high
network,high,none,required,unchanged,low,high,low,0.1531,unproven,220,medium
local,low,low,none,unchanged,none,high,low,0.132,functional,377,medium
network,low,high,required,changed,none,low,high,0.228,unproven,155,medium
network,low,none,required,unchanged,none,high,low,0.0361,poc,148,medium
local,high,none,none,unchanged,high,low,low,0.074,unproven,201,medium
network,low,low,required,unchanged,low,low,high,0.0882,unproven,130,high
local,high,low,required,changed,none,low,none,0.2861,unproven,666,low
local,low,none,none,unchanged,low,low,high,0.0494,high,355,high
network,low,low,none,unchanged,none,low,high,0.0815,unproven,362,high
network,low,none,none,unchanged,high,none,low,0.2717,unproven,236,high
network,low,low,required,unchanged,low,none,low,0.1084,unproven,148,medium
network,low,none,none,changed,high,none,none,0.1791,poc,405,high
network,low,none,none,unchanged,high,low,low,0.0981,unproven,262,high
network,high,low,none,unchanged,none,high,high,0.4546,unproven,451,medium
network,high,none,required,unchanged,low,low,high,0.0128,poc,274,medium
network,low,low,none,changed,low,high,none,0.1003,unproven,502,high
network,high,low,none,unchanged,low,high,none,0.1196,unproven,164,medium
network,low,none,none,unchanged,none,high,high,0.0146,poc,313,high
adjacent,low,high,none,unchanged,low,low,high,0.0016,unproven,160,medium
network,high,none,none,unchanged,high,none,low,0.1113,unproven,182,high
network,high,none,none,unchanged,none,low,high,0.0945,poc,37,medium
local,low,high,none,unchanged,high,low,none,0.0617,high,407,medium
local,low,none,required,changed,high,none,high,0.0835,unproven,155,high
network,low,none,required,unchanged,high,high,high,0.1472,poc,147,high
network,high,none,none,unchanged,high,low,high,0.1109,functional,639,high
adjacent,low,none,required,unchanged,high,high,high,0.0437,unproven,330,high
network,low,high,none,unchanged,low,low,high,0.1611,unproven,275,medium
adjacent,low,none,none,unchanged,low,high,high,0.3124,unproven,219,high
network,low,none,required,unchanged,high,low,low,0.1052,functional,100,high
adjacent,low,high,none,changed,none,none,high,0.163,poc,180,medium
network,low,high,required,unchanged,high,low,low,0.0615,unproven,245,medium
local,high,none,none,unchanged,high,high,low,0.1306,unproven,76,high
network,low,none,none,unchanged,high,low,none,0.0205,poc,45,high
network,low,none,required,unchanged,low,high,none,0.1742,poc,57,medium
network,low,none,required,changed,high,low,high,0.0519,unproven,46,critical
adjacent,high,high,required,unchanged,high,high,high,0.1083,poc,133,medium
network,low,high,none,unchanged,high,high,high,0.1569,unproven,63,high
network,low,low,required,unchanged,low,low,high,0.1323,unproven,194,medium
network,high,none,none,unchanged,high,none,high,0.1905,unproven,237,medium
network,low,low,required,changed,high,low,none,0.1422,unproven,55,high
physical,low,none,required,unchanged,none,none,high,0.024,unproven,243,medium
adjacent,high,high,none,changed,high,none,low,0.0495,high,75,medium
network,high,low,none,unchanged,low,low,low,0.1814,functional,94,medium
network,high,none,required,changed,low,low,none,0.1901,unproven,110,medium
network,low,none,none,unchanged,low,high,high,0.1457,poc,410,high
local,high,none,none,unchanged,high,high,low,0.0691,unproven,60,medium
adjacent,low,high,none,changed,low,none,none,0.0045,unproven,156,low
network,low,none,required,unchanged,low,none,none,0.0568,high,162,medium
adjacent,high,high,required,unchanged,low,high,low,0.1216,poc,298,medium
local,low,none,none,unchanged,high,none,high,0.0773,poc,310,high
local,low,none,required,unchanged,high,high,high,0.0965,high,357,high
network,high,low,none,unchanged,high,high,none,0.0148,unproven,74,medium
local,low,low,none,unchanged,low,low,low,0.1328,unproven,143,medium
network,low,low,none,unchanged,low,low,low,0.1212,poc,184,medium
network,high,none,none,unchanged,low,low,none,0.1835,unproven,169,medium
adjacent,low,high,required,unchanged,low,none,none,0.3417,unproven,243,low
network,low,none,none,unchanged,high,low,high,0.0072,poc,207,critical
adjacent,low,high,required,unchanged,high,low,high,0.1363,unproven,222,medium
network,low,none,none,changed,low,low,high,0.0714,unproven,196,critical
network,low,high,none,unchanged,low,none,high,0.2299,unproven,616,medium
network,low,none,none,unchanged,none,high,high,0.0491,unproven,149,high
local,low,low,required,changed,high,high,low,0.0947,unproven,82,high
network,low,high,none,unchanged,low,none,low,0.0355,poc,922,low
local,high,low,required,changed,low,high,low,0.07,poc,498,medium
local,low,high,none,unchanged,low,none,none,0.1165,functional,102,low
local,low,none,none,unchanged,high,none,high,0.1791,unproven,197,high
network,low,high,none,changed,high,low,high,0.0083,high,204,high
local,high,none,required,unchanged,high,low,high,0.0193,unproven,97,medium
local,low,low,none,unchanged,high,high,high,0.0453,poc,92,high
adjacent,low,low,none,changed,high,none,high,0.1776,unproven,61,high
physical,low,low,none,unchanged,none,high,high,0.0864,unproven,105,medium
adjacent,high,low,none,unchanged,low,high,low,0.0895,poc,24,medium
network,high,low,none,unchanged,low,none,high,0.3972,poc,193,medium
network,low,none,required,unchanged,low,none,low,0.0574,poc,177,medium
local,low,low,required,changed,high,none,none,0.1833,poc,321,medium
local,low,none,none,unchanged,high,low,high,0.1118,unproven,296,high
network,low,low,none,unchanged,low,low,low,0.0126,unproven,220,medium
network,high,none,none,unchanged,high,low,high,0.2353,poc,76,high
network,low,none,required,unchanged,high,low,high,0.1077,unproven,72,high
physical,high,low,none,unchanged,low,low,high,0.1304,functional,45,medium
local,high,low,required,unchanged,low,high,none,0.1855,unproven,493,medium
network,high,low,required,changed,high,low,high,0.13,poc,116,high
adjacent,low,none,none,unchanged,low,high,none,0.0274,unproven,27,medium
network,high,none,none,changed,high,none,high,0.224,unproven,117,high
network,low,high,required,unchanged,none,low,low,0.3123,unproven,238,low
local,low,none,none,unchanged,none,none,low,0.0023,unproven,303,medium
physical,high,low,none,changed,high,low,low,0.2677,unproven,212,medium
network,high,high,required,changed,low,high,high,0.0393,functional,145,high
network,low,low,required,unchanged,none,low,none,0.0627,unproven,641,low
network,low,low,required,unchanged,high,low,none,0.2878,poc,200,medium
network,low,low,required,unchanged,none,high,low,0.2008,poc,120,medium
network,low,low,required,unchanged,high,low,low,0.0717,poc,166,medium
local,high,high,none,unchanged,high,none,none,0.1,high,235,low
physical,high,low,none,unchanged,none,low,low,0.3181,high,56,low
network,high,none,none,unchanged,low,low,none,0.1044,poc,185,medium
local,high,none,required,unchanged,low,low,low,0.0648,functional,252,medium
local,low,high,required,changed,low,none,low,0.0682,functional,193,medium
network,low,low,none,unchanged,none,low,high,0.0666,unproven,652,high
adjacent,low,none,none,unchanged,high,low,high,0.0769,unproven,303,high
network,low,none,none,changed,none,low,high,0.0853,unproven,236,high
adjacent,high,none,none,unchanged,low,high,high,0.0493,unproven,147,medium
network,high,low,required,unchanged,none,low,low,0.0352,functional,395,medium
network,low,none,none,changed,low,high,low,0.0114,functional,405,critical
adjacent,high,none,required,changed,low,low,high,0.0885,unproven,512,medium
network,high,low,none,unchanged,none,low,none,0.1049,functional,341,low
network,high,low,required,unchanged,high,none,low,0.0391,high,301,medium
adjacent,low,none,none,unchanged,low,high,none,0.225,poc,309,medium
network,low,none,required,unchanged,low,low,low,0.0789,unproven,5,medium
local,low,none,required,changed,none,none,high,0.1592,functional,232,medium
network,low,none,required,unchanged,none,low,low,0.0339,unproven,276,medium
network,high,low,none,unchanged,none,none,high,0.2024,poc,266,medium
local,low,high,none,unchanged,low,low,high,0.2419,poc,191,medium
network,low,none,none,unchanged,low,none,none,0.093,poc,72,medium
network,low,high,required,unchanged,low,none,low,0.1928,poc,138,low
network,low,none,none,changed,high,low,none,0.3128,unproven,641,critical
adjacent,low,low,required,unchanged,none,none,low,0.0592,unproven,59,low
local,high,low,none,changed,low,high,low,0.301,high,342,high
network,low,none,none,unchanged,high,low,none,0.0494,poc,175,high
adjacent,low,none,none,unchanged,high,low,high,0.0906,unproven,321,high
network,low,none,none,changed,low,low,none,0.0412,unproven,126,medium
network,low,none,none,unchanged,high,low,none,0.0344,unproven,62,high
adjacent,low,none,required,unchanged,none,low,high,0.1133,unproven,454,medium
network,low,none,none,unchanged,none,low,high,0.1842,unproven,344,high
local,high,high,none,changed,none,high,none,0.0438,unproven,80,medium
network,low,low,none,unchanged,none,low,high,0.0414,unproven,177,high
physical,low,none,none,unchanged,none,low,high,0.0772,poc,165,medium
network,low,low,none,changed,high,low,high,0.0156,functional,100,critical
network,low,high,none,changed,high,low,none,0.2689,unproven,215,medium
adjacent,low,low,none,changed,high,none,high,0.2168,functional,49,high
adjacent,low,low,none,unchanged,high,high,high,0.0922,unproven,306,high
adjacent,low,high,none,unchanged,high,none,high,0.0165,poc,537,medium
network,low,low,none,unchanged,low,high,low,0.1331,functional,216,high
network,low,none,required,unchanged,high,low,none,0.137,unproven,500,high
network,low,none,none,changed,none,high,low,0.092,high,726,critical
network,low,high,none,unchanged,low,none,low,0.0935,unproven,101,low
network,high,none,none,unchanged,high,low,none,0.1476,poc,108,medium
network,low,high,none,unchanged,low,high,high,0.1154,unproven,118,high
network,low,high,required,unchanged,high,none,high,0.3517,poc,313,medium
network,low,none,required,unchanged,high,high,high,0.1078,unproven,175,high
physical,low,low,none,unchanged,high,high,low,0.0909,unproven,184,medium
network,low,low,none,changed,low,low,low,0.033,unproven,287,high
network,low,high,none,changed,none,high,high,0.047,functional,510,high
network,low,high,none,changed,none,none,none,0.0214,unproven,354,low
network,low,none,none,unchanged,none,none,low,0.2071,poc,85,medium
network,low,none,none,unchanged,none,low,high,0.1126,unproven,159,high
local,high,none,none,unchanged,low,low,low,0.4028,unproven,243,medium
network,high,high,none,unchanged,none,low,high,0.0414,unproven,82,medium
network,low,high,none,changed,high,low,none,0.1228,unproven,104,medium
network,high,high,required,unchanged,none,low,low,0.0996,unproven,70,low
adjacent,low,none,none,unchanged,high,low,high,0.0162,unproven,105,high
adjacent,low,low,none,changed,low,low,low,0.0697,functional,362,medium
network,high,low,none,unchanged,none,low,none,0.111,poc,255,low
adjacent,high,none,none,unchanged,none,none,high,0.0512,unproven,511,medium
local,low,none,required,unchanged,low,high,none,0.1215,functional,73,medium
network,low,none,required,unchanged,low,low,high,0.0962,poc,156,high
network,low,none,required,unchanged,high,high,none,0.0638,unproven,314,high
network,low,high,none,unchanged,none,none,none,0.3122,poc,157,low
network,low,low,required,unchanged,high,none,low,0.2233,functional,218,medium
network,low,low,required,unchanged,high,low,none,0.2753,functional,186,medium
network,low,none,none,unchanged,high,low,none,0.0725,functional,203,high
adjacent,high,low,required,unchanged,none,low,none,0.0521,functional,208,low
adjacent,low,low,none,changed,high,low,none,0.0876,poc,616,medium
local,low,none,required,unchanged,high,none,high,0.0495,functional,244,medium
network,low,none,none,unchanged,none,high,high,0.0881,unproven,218,critical
adjacent,high,high,none,unchanged,high,low,none,0.1282,functional,182,medium
local,high,none,none,changed,low,low,high,0.0667,unproven,72,high
adjacent,high,high,required,changed,low,high,none,0.1342,poc,466,medium
local,low,none,none,unchanged,high,none,none,0.1067,functional,78,medium
local,high,high,none,unchanged,high,high,high,0.129,unproven,186,medium
local,low,high,required,changed,high,low,none,0.0492,poc,81,medium
local,low,high,required,unchanged,none,low,none,0.1511,unproven,129,low
network,high,none,none,unchanged,high,none,none,0.1715,poc,274,medium
adjacent,low,high,none,unchanged,high,low,none,0.0587,unproven,91,medium
network,low,low,required,changed,low,low,none,0.0749,functional,380,medium
local,high,none,none,changed,high,low,none,0.1315,unproven,179,medium
adjacent,low,high,required,unchanged,low,high,low,0.0582,unproven,399,medium
local,high,low,required,unchanged,low,none,low,0.091,poc,121,low
local,low,none,required,unchanged,none,none,high,0.3081,unproven,56,medium
local,low,none,none,changed,none,low,low,0.0168,unproven,79,medium
network,low,low,none,unchanged,low,none,high,0.0128,unproven,28,medium
network,low,high,none,unchanged,high,none,low,0.1109,unproven,231,medium
adjacent,low,none,none,changed,high,none,high,0.0163,poc,119,critical
network,low,none,none,unchanged,none,high,none,0.2119,unproven,394,high
network,high,low,none,unchanged,high,none,high,0.0507,functional,118,medium
network,low,low,none,unchanged,low,high,low,0.0918,unproven,148,high
network,low,none,required,changed,high,none,none,0.3251,poc,22,high
local,high,low,required,unchanged,low,none,low,0.1478,poc,263,low
network,low,low,required,changed,none,high,high,0.2427,poc,166,high
network,low,none,none,unchanged,high,low,high,0.2441,functional,230,critical
network,low,none,none,changed,high,low,none,0.1589,high,174,critical
network,low,high,required,unchanged,none,high,high,0.0674,unproven,28,medium
network,low,low,none,unchanged,none,low,low,0.0071,unproven,191,medium
local,low,low,required,unchanged,low,high,none,0.0851,functional,333,medium
network,high,low,none,unchanged,high,high,low,0.1231,unproven,167,medium
network,high,low,none,unchanged,low,none,none,0.099,unproven,174,low
local,low,none,required,unchanged,high,none,none,0.1342,poc,65,medium
network,high,low,required,unchanged,none,low,high,0.0511,poc,309,medium
network,high,none,none,unchanged,high,low,low,0.0801,poc,133,medium
network,high,high,required,unchanged,high,low,none,0.1365,unproven,100,medium
network,low,high,required,changed,none,none,none,0.1002,functional,269,low
physical,low,high,required,changed,high,none,high,0.1137,poc,150,medium
adjacent,low,none,none,unchanged,none,none,high,0.1425,poc,237,medium
network,low,none,none,changed,high,none,none,0.0609,unproven,131,high
adjacent,low,none,none,unchanged,high,none,low,0.0752,unproven,168,high
local,low,low,required,unchanged,low,none,high,0.0112,unproven,66,medium
local,low,none,required,unchanged,low,high,high,0.1254,unproven,340,high
adjacent,high,none,required,unchanged,low,low,none,0.173,poc,284,medium
local,high,none,required,unchanged,low,high,low,0.0275,poc,198,medium
local,low,none,none,unchanged,high,high,none,0.3627,unproven,289,high
local,low,high,required,unchanged,low,low,high,0.0593,poc,150,medium
local,low,high,none,unchanged,high,low,low,0.083,unproven,193,medium
network,low,high,none,unchanged,low,high,high,0.0493,poc,322,medium
network,low,low,none,unchanged,high,none,low,0.363,unproven,654,medium
local,low,none,none,unchanged,high,high,none,0.0951,unproven,44,high
local,low,high,none,unchanged,low,high,low,0.176,unproven,273,medium
network,low,high,required,unchanged,none,low,high,0.0415,unproven,260,medium
local,low,low,none,unchanged,high,low,high,0.0382,unproven,163,high
network,low,none,required,changed,high,low,low,0.0919,poc,159,high
network,high,high,none,changed,low,low,high,0.1808,poc,89,medium
network,low,low,none,unchanged,none,none,none,0.0554,poc,75,low
network,low,none,none,changed,low,none,high,0.0554,unproven,303,high
adjacent,low,low,required,unchanged,low,none,high,0.0159,unproven,396,medium
adjacent,low,none,required,unchanged,low,low,none,0.0522,unproven,200,medium
network,low,none,none,unchanged,low,high,low,0.1706,poc,184,critical
network,low,high,none,changed,high,low,none,0.0918,poc,254,medium
local,low,low,required,changed,high,low,high,0.0802,poc,426,high
local,low,high,none,unchanged,low,low,high,0.0323,unproven,608,medium
local,low,low,required,unchanged,none,low,high,0.0814,unproven,639,medium
local,low,none,none,unchanged,low,none,high,0.065,unproven,4,medium
local,low,low,required,unchanged,low,high,low,0.0252,high,195,medium
network,low,none,none,unchanged,low,low,none,0.0137,high,331,medium
network,high,high,none,changed,high,high,low,0.0448,high,238,medium
network,high,high,required,unchanged,high,low,low,0.0855,poc,114,medium
network,high,none,none,unchanged,high,high,low,0.1207,unproven,194,high
network,high,none,required,unchanged,low,low,low,0.0166,poc,185,medium
local,low,high,none,unchanged,high,high,high,0.0856,functional,122,medium
local,low,high,none,unchanged,high,low,high,0.0567,functional,69,medium
network,high,high,none,unchanged,none,high,low,0.2081,high,486,medium
network,low,none,none,unchanged,high,none,none,0.1074,poc,217,high
network,high,none,none,unchanged,none,low,low,0.2077,unproven,120,medium
local,low,none,none,unchanged,low,none,none,0.0855,functional,399,medium
local,high,none,none,changed,none,none,high,0.1281,high,84,medium
adjacent,low,high,required,unchanged,low,high,none,0.0395,high,218,medium
network,high,high,none,unchanged,none,low,low,0.1211,unproven,720,low
network,high,low,none,unchanged,low,high,low,0.114,poc,301,medium
adjacent,low,low,required,unchanged,low,high,none,0.2093,unproven,306,medium
local,low,none,required,unchanged,low,high,low,0.1753,functional,266,medium
adjacent,high,none,none,changed,high,high,high,0.139,functional,41,high
network,low,none,required,changed,none,high,high,0.1553,poc,69,critical
network,high,none,required,unchanged,low,none,high,0.1733,high,453,medium
